Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-11-18 10:54,1.119,0.003,0,0,0,0,p
2018-11-18 11:00,1.119,0.003,0,0,0,0,p
2018-11-18 11:06,1.132,0.003,0,0,0,0,p
2018-11-18 11:12,1.138,0.007,1,0,0,0,p
2018-11-18 11:18,1.142,0.003,1,0,0,0,p
2018-11-18 11:24,1.152,0.003,0,0,0,0,p
2018-11-18 11:30,1.138,0.007,1,0,0,0,p
2018-11-18 11:36,1.145,0.003,1,0,0,0,p
2018-11-18 11:42,1.135,0.003,1,0,0,0,p
2018-11-18 11:48,1.142,0.003,0,0,0,0,p
2018-11-18 11:54,1.135,0.003,1,0,0,0,p
2018-11-18 12:00,1.148,0.003,0,0,0,0,p
2018-11-18 12:06,1.129,0.003,1,0,0,0,p
2018-11-18 12:12,1.148,0.003,1,0,0,0,p
2018-11-18 12:18,1.125,0.003,1,0,0,0,p
2018-11-18 12:24,1.142,0.003,1,0,0,0,p
2018-11-18 12:30,1.132,0.003,1,0,0,0,p
2018-11-18 12:36,1.129,0.003,1,0,0,0,p
2018-11-18 12:42,1.129,0.007,1,0,0,0,p
2018-11-18 12:48,1.112,0.007,0,0,0,0,p
2018-11-18 12:54,1.106,0.003,1,0,0,0,p
2018-11-18 13:00,1.096,0.007,1,0,0,0,p
2018-11-18 13:06,1.076,0.010,1,0,0,0,p
2018-11-18 13:12,1.066,0.007,0,0,0,0,p
2018-11-18 13:18,1.066,0.010,1,0,0,0,p
2018-11-18 13:24,1.043,0.013,0,0,0,0,p
2018-11-18 13:30,1.024,0.010,1,0,0,0,p
2018-11-18 13:36,1.017,0.013,0,0,0,0,p
2018-11-18 13:42,1.001,0.010,1,0,0,0,p
2018-11-18 13:48,0.994,0.010,0,0,0,0,p
2018-11-18 13:54,0.991,0.007,1,0,0,0,p
2018-11-18 14:00,0.961,0.036,0,0,0,0,p
2018-11-18 14:06,0.965,0.052,0,0,0,0,p
2018-11-18 14:12,0.938,0.030,0,0,0,0,p
2018-11-18 14:18,0.915,0.010,1,0,0,0,p
2018-11-18 14:24,0.899,0.010,1,0,0,0,p
2018-11-18 14:30,0.879,0.007,1,0,0,0,p
2018-11-18 14:36,0.873,0.010,1,0,0,0,p
2018-11-18 14:42,0.853,0.007,1,0,0,0,p
2018-11-18 14:48,0.853,0.010,1,0,0,0,p
2018-11-18 14:54,0.837,0.010,0,0,0,0,p
2018-11-18 15:00,0.840,0.010,1,0,0,0,p
2018-11-18 15:06,0.843,0.007,1,0,0,0,p
2018-11-18 15:12,0.830,0.007,1,0,0,0,p
2018-11-18 15:18,0.840,0.007,1,0,0,0,p
2018-11-18 15:24,0.820,0.062,0,0,0,0,p
2018-11-18 15:30,0.837,0.020,1,0,0,0,p
2018-11-18 15:36,0.774,0.016,1,0,0,0,p
2018-11-18 15:42,0.833,0.016,1,0,0,0,p
2018-11-18 15:48,0.774,0.030,0,0,0,0,p
2018-11-18 15:54,0.804,0.026,1,0,0,0,p
2018-11-18 16:00,0.781,0.023,0,0,0,0,p
2018-11-18 16:06,0.787,0.013,0,0,0,0,p
2018-11-18 16:12,0.761,0.016,0,0,0,0,p
2018-11-18 16:18,0.771,0.010,0,0,0,0,p
2018-11-18 16:24,0.758,0.010,0,0,0,0,p
2018-11-18 16:30,0.761,0.010,0,0,0,0,p
2018-11-18 16:36,0.732,0.013,1,0,0,0,p
